Phone timestamp;sensor timestamp [ns];timestamp [ms];ecg [uV]
2024-09-16T19:00:51.025;599620868238669312;1490.2913;1884
2024-09-16T19:00:51.032;599620868246345216;1497.9672;1868
2024-09-16T19:00:51.040;599620868254021120;1505.6431;1837
2024-09-16T19:00:51.048;599620868261697024;1513.319;1818
2024-09-16T19:00:51.055;599620868269372928;1520.9949;1837
2024-09-16T19:00:51.063;599620868277048832;1528.6708;1863
2024-09-16T19:00:51.071;599620868284724736;1536.3467;1837
2024-09-16T19:00:51.079;599620868292400640;1544.0226;1774
2024-09-16T19:00:51.086;599620868300076544;1551.6985;1724
2024-09-16T19:00:51.094;599620868307752448;1559.3744;1691
2024-09-16T19:00:51.102;599620868315428352;1567.0503;1658
2024-09-16T19:00:51.109;599620868323104256;1574.7262;1632
2024-09-16T19:00:51.117;599620868330780160;1582.4021;1613
2024-09-16T19:00:51.125;599620868338456064;1590.078;1594
2024-09-16T19:00:51.132;599620868346131968;1597.7539;1576
2024-09-16T19:00:51.140;599620868353807872;1605.4298;1557
2024-09-16T19:00:51.148;599620868361483776;1613.1057;1536
2024-09-16T19:00:51.155;599620868369159680;1620.7816;1500
2024-09-16T19:00:51.163;599620868376835584;1628.4575;1472
2024-09-16T19:00:51.171;599620868384511488;1636.1334;1604
2024-09-16T19:00:51.178;599620868392187392;1643.8093;2052
2024-09-16T19:00:51.186;599620868399863296;1651.4852;2483
2024-09-16T19:00:51.194;599620868407539200;1659.1611;2195
2024-09-16T19:00:51.201;599620868415215104;1666.837;1486
2024-09-16T19:00:51.209;599620868422890967;1674.513;1300
2024-09-16T19:00:51.217;599620868430566912;1682.1888;1385
2024-09-16T19:00:51.224;599620868438242816;1689.8647;1251
2024-09-16T19:00:51.232;599620868445918720;1697.5406;1201
2024-09-16T19:00:51.240;599620868453594624;1705.2166;1274
2024-09-16T19:00:51.247;599620868461270528;1712.8925;1248
2024-09-16T19:00:51.255;599620868468946432;1720.5684;1218
2024-09-16T19:00:51.263;599620868476622336;1728.2443;1234
2024-09-16T19:00:51.270;599620868484298240;1735.9202;1225
2024-09-16T19:00:51.278;599620868491974144;1743.5961;1208
2024-09-16T19:00:51.286;599620868499650048;1751.272;1218
2024-09-16T19:00:51.293;599620868507325952;1758.9479;1222
2024-09-16T19:00:51.301;599620868515001856;1766.6238;1215
2024-09-16T19:00:51.309;599620868522677760;1774.2997;1227
2024-09-16T19:00:51.316;599620868530353664;1781.9756;1243
2024-09-16T19:00:51.324;599620868538029568;1789.6515;1255
2024-09-16T19:00:51.332;599620868545705472;1797.3274;1269
2024-09-16T19:00:51.340;599620868553381376;1805.0033;1286
2024-09-16T19:00:51.347;599620868561057280;1812.6792;1295
2024-09-16T19:00:51.355;599620868568733184;1820.3551;1300
2024-09-16T19:00:51.363;599620868576409088;1828.031;1298
2024-09-16T19:00:51.370;599620868584084992;1835.7069;1286
2024-09-16T19:00:51.378;599620868591760896;1843.3828;1260
2024-09-16T19:00:51.386;599620868599436800;1851.0587;1236
2024-09-16T19:00:51.393;599620868607112704;1858.7346;1213
2024-09-16T19:00:51.401;599620868614788608;1866.4105;1173
2024-09-16T19:00:51.409;599620868622464512;1874.0864;1114
2024-09-16T19:00:51.416;599620868630140416;1881.7623;1069
2024-09-16T19:00:51.424;599620868637816320;1889.4382;1041
2024-09-16T19:00:51.432;599620868645492224;1897.1141;1013
2024-09-16T19:00:51.439;599620868653168128;1904.79;987
2024-09-16T19:00:51.447;599620868660844032;1912.466;968
2024-09-16T19:00:51.455;599620868668519936;1920.1418;958
2024-09-16T19:00:51.462;599620868676195840;1927.8177;956
2024-09-16T19:00:51.470;599620868683871744;1935.4937;961
2024-09-16T19:00:51.478;599620868691547648;1943.1696;956
2024-09-16T19:00:51.485;599620868699223552;1950.8455;947
2024-09-16T19:00:51.493;599620868706899456;1958.5214;942
2024-09-16T19:00:51.501;599620868714575360;1966.1973;937
2024-09-16T19:00:51.508;599620868722251264;1973.8732;923
2024-09-16T19:00:51.516;599620868729927168;1981.5491;909
2024-09-16T19:00:51.524;599620868737603072;1989.225;899
2024-09-16T19:00:51.531;599620868745278976;1996.9009;890
2024-09-16T19:00:51.539;599620868752954880;2004.5768;897
2024-09-16T19:00:51.547;599620868760630784;2012.2527;937
2024-09-16T19:00:51.554;599620868768306688;2019.9286;963
2024-09-16T19:00:51.562;599620868775982592;2027.6045;923
2024-09-16T19:00:51.570;599620868783658496;2035.2804;866
2024-09-16T19:00:51.577;599620868791334400;2042.9563;841
2024-09-16T19:00:51.585;599620868799010304;2050.632;817
2024-09-16T19:00:51.593;599620868806686208;2058.308;793
2024-09-16T19:00:51.600;599620868814362112;2065.984;782
2024-09-16T19:00:51.608;599620868822038016;2073.66;777
2024-09-16T19:00:51.616;599620868829713920;2081.3357;772
2024-09-16T19:00:51.624;599620868837389824;2089.0117;765
2024-09-16T19:00:51.631;599620868845065728;2096.6875;758
2024-09-16T19:00:51.639;599620868852741632;2104.3635;744
2024-09-16T19:00:51.647;599620868860417536;2112.0393;709
2024-09-16T19:00:51.654;599620868868093440;2119.7153;709
2024-09-16T19:00:51.662;599620868875769344;2127.391;935
2024-09-16T19:00:51.670;599620868883445248;2135.0671;1425
2024-09-16T19:00:51.677;599620868891121152;2142.743;1656
2024-09-16T19:00:51.685;599620868898797056;2150.419;1182
2024-09-16T19:00:51.693;599620868906472960;2158.0947;673
2024-09-16T19:00:51.700;599620868914148864;2165.7708;680
2024-09-16T19:00:51.708;599620868921824768;2173.4468;671
2024-09-16T19:00:51.716;599620868929500672;2181.1226;520
2024-09-16T19:00:51.723;599620868937176576;2188.7986;558
2024-09-16T19:00:51.731;599620868944852480;2196.4744;610
2024-09-16T19:00:51.739;599620868952528384;2204.1504;560
2024-09-16T19:00:51.746;599620868960204288;2211.8262;567
2024-09-16T19:00:51.754;599620868967880192;2219.5022;603
2024-09-16T19:00:51.762;599620868975556096;2227.178;596
2024-09-16T19:00:51.769;599620868983231966;2234.854;593
2024-09-16T19:00:51.777;599620868990907648;2242.5295;610
2024-09-16T19:00:51.785;599620868998583296;2250.205;617
2024-09-16T19:00:51.792;599620869006259072;2257.881;619
2024-09-16T19:00:51.800;599620869013934720;2265.5564;631
2024-09-16T19:00:51.808;599620869021610368;2273.2324;654
2024-09-16T19:00:51.815;599620869029286144;2280.908;676
2024-09-16T19:00:51.823;599620869036961792;2288.5837;692
2024-09-16T19:00:51.831;599620869044637568;2296.2595;720
2024-09-16T19:00:51.838;599620869052313216;2303.935;744
2024-09-16T19:00:51.846;599620869059988864;2311.6108;749
2024-09-16T19:00:51.854;599620869067664640;2319.2866;746
2024-09-16T19:00:51.861;599620869075340288;2326.9622;739
2024-09-16T19:00:51.869;599620869083015936;2334.638;727
2024-09-16T19:00:51.877;599620869090691712;2342.3135;716
2024-09-16T19:00:51.884;599620869098367360;2349.9893;692
2024-09-16T19:00:51.892;599620869106043136;2357.665;659
2024-09-16T19:00:51.900;599620869113718784;2365.3406;629
2024-09-16T19:00:51.908;599620869121394432;2373.0164;596
2024-09-16T19:00:51.915;599620869129070208;2380.692;567
2024-09-16T19:00:51.923;599620869136745856;2388.368;548
2024-09-16T19:00:51.931;599620869144421504;2396.0432;530
2024-09-16T19:00:51.938;599620869152097280;2403.7192;520
2024-09-16T19:00:51.946;599620869159772928;2411.3948;525
2024-09-16T19:00:51.954;599620869167448576;2419.0706;530
2024-09-16T19:00:51.961;599620869175124352;2426.7463;530
2024-09-16T19:00:51.969;599620869182800000;2434.4219;530
2024-09-16T19:00:51.977;599620869190475776;2442.0977;530
2024-09-16T19:00:51.984;599620869198151424;2449.7732;530
2024-09-16T19:00:51.992;599620869205827072;2457.449;527
2024-09-16T19:00:52.000;599620869213502848;2465.1248;518
2024-09-16T19:00:52.007;599620869221178496;2472.8003;513
2024-09-16T19:00:52.015;599620869228854144;2480.476;506
2024-09-16T19:00:52.023;599620869236529920;2488.1519;499
2024-09-16T19:00:52.030;599620869244205568;2495.8274;527
2024-09-16T19:00:52.038;599620869251881216;2503.5032;572
2024-09-16T19:00:52.046;599620869259556992;2511.1787;567
2024-09-16T19:00:52.053;599620869267232640;2518.8547;532
2024-09-16T19:00:52.061;599620869274908416;2526.5303;508
